Ward,City,State,Latitude,Longitude,Last_Date,Critical_Count,High_Count,Medium_Count,Low_Count,Total,Avg_Complaints,Max_Complaints,Top_Issue,Top_Season,Top_Cluster,Hotspot_Level,Priority_Score,Real_Incident
Ward_1,Palakkad,Kerala,10.7825,76.7046,2017-02-13,0,0,3,0,3,367.18,400,Sanitation,Summer,Tourist Season Sanitation,MEDIUM,3,"Silent Valley & Parambikulam eco-tourism season - 50K+ tourists, forest area waste & plastic"
Ward_23,Palakkad,Kerala,10.8248,76.6927,2020-02-22,1,1,1,1,4,406.32,541,Traffic,Winter,Weekend Market Congestion,HIGH,8,"Palakkad market & Kalpathy heritage village weekend - 50K+ visitors, town congestion"
Ward_1,Idukki,Kerala,9.9357,77.108,2023-06-10,2,0,1,0,3,509.19,579,Crowd Management,Winter,Festival Crowd & Waste,CRITICAL,15,"Sabarimala connecting route via Idukki - 50L+ pilgrims annually, forest highway waste & overflow"
Ward_10,Idukki,Kerala,9.8961,77.113,2024-01-18,0,1,1,2,4,414.67,481,Crowd Management,Winter,Public Event & Gathering,MEDIUM,4,"Munnar flower show (Dec) - 5L+ visitors in 10 days, hill town civic & sanitation overload"
Ward_33,Idukki,Kerala,9.9178,77.143,2016-07-27,0,0,3,1,4,486.86,491,Water Supply,Summer,Summer Water Service,MEDIUM,3,"Idukki reservoir at 50yr record low - Periyar river downstream water cuts, summer 2024"
Ward_22,Idukki,Kerala,9.946,77.1162,2018-12-08,2,1,1,0,4,398.5,541,Sanitation,Winter,Tourist Season Sanitation,CRITICAL,12,"Munnar peak season (Dec-Jan) - 5L+ tourists, hilltop waste crisis, plastic ban violations"
Ward_5,Idukki,Kerala,9.9634,77.1216,2017-09-02,2,1,1,0,4,339.02,349,Traffic,Monsoon,Weekend Market Congestion,HIGH,6,"Thodupuzha & Kattappana weekly market - 50K+ shoppers, highland town traffic congestion"
Ward_20,Kasaragod,Kerala,12.4861,75.0302,2016-06-12,0,1,1,2,4,272.33,298,Crowd Management,Monsoon,Festival Crowd & Waste,MEDIUM,4,"Bekal Utsav cultural festival - 1L+ crowd, Bekal Fort & beach area waste management failure"
Ward_23,Kasaragod,Kerala,12.5276,75.0253,2020-07-22,0,0,1,0,1,541.2,592,Crowd Management,Monsoon,Public Event & Gathering,MEDIUM,3,"Bekal Fest beach events & Theyyam season - 1L+ crowd, coastal waste & sanitation crisis"
Ward_12,Kasaragod,Kerala,12.5377,74.9394,2024-04-04,1,2,2,0,5,278.72,305,Water Supply,Summer,Summer Water Service,HIGH,8,"Kasaragod severe drought 2024 - Chandragiri river critically low, northernmost Kerala worst hit"
Ward_25,Kasaragod,Kerala,12.5368,75.0228,2018-06-30,0,2,1,1,4,483.6,594,Sanitation,Winter,Tourist Season Sanitation,HIGH,7,"Bekal Fort & Kappil beach tourist season - 2L+ tourists, coastal sanitation failure"
Ward_15,Kasaragod,Kerala,12.4719,75.0029,2020-06-20,0,1,2,0,3,537.75,554,Traffic,Winter,Weekend Market Congestion,MEDIUM,5,"Kasaragod town market & Bekal road weekend - 30K+ shoppers, border town traffic congestion"
Ward_23,Ernakulam,Kerala,9.9957,76.2899,2022-01-05,0,2,1,0,3,312.5,445,Solid Waste,Winter,Festival Crowd & Waste,HIGH,8,"Nakshathra Thadakam New Year Carnival (Dec 25-31) - 110-acre lake, 5000+ Christmas stars, mega trade fair, lake pollution & food waste crisis"
Ward_12,Ernakulam,Kerala,9.9897,76.3483,2016-06-05,2,2,1,1,6,449.56,529,Crowd Management,Winter,Public Event & Gathering,CRITICAL,13,"Cochin Carnival New Year celebrations - 5L+ crowd, Fort Kochi area waste & traffic collapse"
Ward_28,Ernakulam,Kerala,9.9922,76.301,2020-04-26,2,1,1,0,4,442.25,442,Water Supply,Summer,Summer Water Service,HIGH,7,"Periyar river industrial pollution - Aluva WTP shutdown, 3L Ernakulam residents affected"
Ward_34,Ernakulam,Kerala,10.0242,76.3037,2024-01-25,2,1,0,0,3,412.67,558,Sanitation,Winter,Tourist Season Sanitation,CRITICAL,11,"Malayattoor Perunnal Easter pilgrimage - Vatican-recognised international shrine, 40L+ annual visitors, peak Holy Week crowd surge, hilltop sanitation & Periyar riverbank waste crisis"
Ward_40,Ernakulam,Kerala,9.963,76.3347,2024-01-27,0,1,3,1,5,426.75,509,Traffic,Monsoon,Weekend Market Congestion,MEDIUM,4,"Ernakulam Jew Town & MG Road Saturday market - 2L+ shoppers, city traffic collapse"
Ward_26,Wayanad,Kerala,11.7051,76.1374,2018-02-24,1,3,1,0,5,407.74,484,Solid Waste,Winter,Festival Crowd & Waste,HIGH,8,"Edakkal Caves tribal festival & Onam celebrations - tourist-pilgrim overlap, forest waste surge"
Ward_36,Wayanad,Kerala,11.7188,76.1124,2018-05-10,1,3,2,1,7,352.05,465,Crowd Management,Winter,Public Event & Gathering,HIGH,7,"Wayanad Chulliyad tribal festival & eco-tourism events - 50K+ crowd, forest area civic overload"
Ward_44,Wayanad,Kerala,11.6568,76.1293,2024-12-04,0,0,3,0,3,285.0,370,Water Supply,Summer,Summer Water Service,MEDIUM,5,"Wayanad tribal hamlet water crisis - Chaliyar river dry, 10K+ families water shortage 2024"
Ward_6,Wayanad,Kerala,11.7172,76.1571,2023-07-18,0,1,1,0,2,234.52,245,Sanitation,Winter,Tourist Season Sanitation,MEDIUM,4,"Wayanad eco-tourism surge - Chembra Peak & Edakkal Caves, 1L+ tourists, forest littering & trail waste"
Ward_16,Wayanad,Kerala,11.7338,76.1431,2024-08-13,0,0,2,1,3,507.87,580,Traffic,Winter,Weekend Market Congestion,MEDIUM,3,"Sulthan Bathery & Kalpetta weekly market - 50K+ buyers, tribal-tourist overlap congestion"
